year,sequence_in_year,n1,n2,n3,n4,n5,n6
2023,2,8,15,18,28,33,40
2023,3,16,31,34,35,37,42
2023,4,10,14,15,22,30,32
2023,5,9,12,19,27,28,31
2023,6,7,17,19,21,22,28
2023,7,3,15,17,28,37,41
2023,8,7,10,11,21,28,40
2023,9,4,8,12,16,34,39
2023,10,3,9,24,32,35,36
2023,11,3,8,10,12,18,32
2023,12,6,12,13,26,29,42
2023,13,3,4,20,23,30,35
2023,14,2,10,18,33,38,40
2023,15,2,3,11,17,30,36
2023,16,1,3,6,8,13,15
2023,17,5,8,14,17,22,23
2023,18,6,13,15,17,32,38
2023,19,4,7,27,28,29,37
2023,20,2,18,19,20,21,25
2023,21,8,12,26,29,38,40
2023,22,2,10,15,18,28,41
2023,23,6,12,16,17,26,30
2023,24,8,10,23,36,37,42
2023,25,2,4,11,13,17,24
2023,26,13,15,27,28,32,36
2023,27,11,19,20,29,33,39
2023,28,19,27,31,33,35,39
2023,29,2,3,20,26,39,40
2023,30,5,14,19,31,34,42
2023,31,7,16,29,32,39,41
2023,32,4,14,16,26,34,35
2023,33,2,6,7,31,40,42
2023,34,7,12,17,35,36,40
2023,35,9,17,27,31,39,42
2023,36,8,23,30,37,39,42
2023,37,3,9,16,17,18,32
2023,38,2,3,6,31,37,42
2023,39,4,5,14,22,37,38
2023,40,7,13,18,29,35,37
2023,41,8,15,16,23,36,40
2023,42,2,8,17,19,26,34
2023,43,2,13,24,31,34,38
2023,44,3,4,20,34,35,40
2023,45,5,6,8,11,20,21
2023,46,1,3,12,21,23,25
2023,47,6,15,18,25,35,41
2023,48,13,25,28,30,35,37
2023,49,7,8,11,14,34,38
2023,50,5,19,20,24,27,28
2023,51,7,11,24,27,39,40
2023,52,14,23,24,30,36,38
2023,53,2,8,15,27,31,35
2023,54,8,15,21,23,29,42
2023,55,2,3,4,19,34,42
2023,56,1,5,10,18,34,38
2023,57,13,33,34,38,40,42
2023,58,8,16,18,25,31,41
2023,59,19,23,24,25,40,42
2023,60,12,13,16,20,22,27
2023,61,2,3,4,14,17,32
2023,62,10,12,15,19,36,37
2023,63,5,25,26,27,30,42
2023,64,25,30,32,35,39,41
2023,65,8,11,19,25,34,38
2023,66,3,12,20,22,24,25
2023,67,6,10,15,26,28,34
2023,68,12,16,28,31,33,35
2023,69,2,14,15,20,23,32
2023,70,2,3,19,21,27,37
2023,71,1,7,19,25,28,32
2023,72,4,7,8,29,31,41
